"level","lab","lab2","type","var"
"States","Neutral",">1 death/100K/wk","H","0 5 0"
"States","Neutral",">1 death/100K/wk","HO","0 5 5"
"States","Neutral",">1 death/100K/wk","C","50 0 0"
"States","Neutral",">1 death/100K/wk","CH","50 5 0"
"States","Neutral",">1 death/100K/wk","CHO","50 5 5"
"States","Neutral",">2 deaths/100K/wk","H","0 15 0"
"States","Neutral",">2 deaths/100K/wk","HO","0 15 5"
"States","Neutral",">2 deaths/100K/wk","C","200 0 0"
"States","Neutral",">2 deaths/100K/wk","CH","200 5 0"
"States","Neutral",">2 deaths/100K/wk","CHO","200 5 5"
"States","Don't cry wolf (0.5x FN)",">1 death/100K/wk","H","0 10 0"
"States","Don't cry wolf (0.5x FN)",">1 death/100K/wk","HO","0 5 5"
"States","Don't cry wolf (0.5x FN)",">1 death/100K/wk","C","100 0 0"
"States","Don't cry wolf (0.5x FN)",">1 death/100K/wk","CH","100 5 0"
"States","Don't cry wolf (0.5x FN)",">1 death/100K/wk","CHO","50 5 5"
"States","Don't cry wolf (0.5x FN)",">2 deaths/100K/wk","H","0 15 0"
"States","Don't cry wolf (0.5x FN)",">2 deaths/100K/wk","HO","0 15 5"
"States","Don't cry wolf (0.5x FN)",">2 deaths/100K/wk","CH","150 15 0"
"States","Don't cry wolf (0.5x FN)",">2 deaths/100K/wk","C","200 0 0"
"States","Don't cry wolf (0.5x FN)",">2 deaths/100K/wk","CHO","200 10 5"
"States","Better safe than sorry (0.5x FP)",">1 death/100K/wk","H","0 5 0"
"States","Better safe than sorry (0.5x FP)",">1 death/100K/wk","HO","0 5 5"
"States","Better safe than sorry (0.5x FP)",">1 death/100K/wk","C","50 0 0"
"States","Better safe than sorry (0.5x FP)",">1 death/100K/wk","CH","50 5 0"
"States","Better safe than sorry (0.5x FP)",">1 death/100K/wk","CHO","50 5 5"
"States","Better safe than sorry (0.5x FP)",">2 deaths/100K/wk","H","0 10 0"
"States","Better safe than sorry (0.5x FP)",">2 deaths/100K/wk","HO","0 10 5"
"States","Better safe than sorry (0.5x FP)",">2 deaths/100K/wk","C","150 0 0"
"States","Better safe than sorry (0.5x FP)",">2 deaths/100K/wk","CH","150 10 0"
"States","Better safe than sorry (0.5x FP)",">2 deaths/100K/wk","CHO","150 5 5"
"HSAs","Neutral",">1 death/100K/wk","H","0 5 0"
"HSAs","Neutral",">1 death/100K/wk","HO","0 5 5"
"HSAs","Neutral",">1 death/100K/wk","C","50 0 0"
"HSAs","Neutral",">1 death/100K/wk","CH","50 5 0"
"HSAs","Neutral",">1 death/100K/wk","CHO","50 5 5"
"HSAs","Neutral",">2 deaths/100K/wk","H","0 15 0"
"HSAs","Neutral",">2 deaths/100K/wk","HO","0 15 5"
"HSAs","Neutral",">2 deaths/100K/wk","CH","150 10 0"
"HSAs","Neutral",">2 deaths/100K/wk","CHO","150 10 5"
"HSAs","Neutral",">2 deaths/100K/wk","C","200 0 0"
"HSAs","Don't cry wolf (0.5x FN)",">1 death/100K/wk","H","0 10 0"
"HSAs","Don't cry wolf (0.5x FN)",">1 death/100K/wk","HO","0 5 5"
"HSAs","Don't cry wolf (0.5x FN)",">1 death/100K/wk","C","100 0 0"
"HSAs","Don't cry wolf (0.5x FN)",">1 death/100K/wk","CH","100 5 0"
"HSAs","Don't cry wolf (0.5x FN)",">1 death/100K/wk","CHO","50 5 5"
"HSAs","Don't cry wolf (0.5x FN)",">2 deaths/100K/wk","H","0 15 0"
"HSAs","Don't cry wolf (0.5x FN)",">2 deaths/100K/wk","HO","0 15 5"
"HSAs","Don't cry wolf (0.5x FN)",">2 deaths/100K/wk","CHO","150 15 5"
"HSAs","Don't cry wolf (0.5x FN)",">2 deaths/100K/wk","CH","200 15 0"
"HSAs","Don't cry wolf (0.5x FN)",">2 deaths/100K/wk","C","250 0 0"
"HSAs","Better safe than sorry (0.5x FP)",">1 death/100K/wk","H","0 5 0"
"HSAs","Better safe than sorry (0.5x FP)",">1 death/100K/wk","HO","0 5 5"
"HSAs","Better safe than sorry (0.5x FP)",">1 death/100K/wk","C","50 0 0"
"HSAs","Better safe than sorry (0.5x FP)",">1 death/100K/wk","CH","50 5 0"
"HSAs","Better safe than sorry (0.5x FP)",">1 death/100K/wk","CHO","50 5 5"
"HSAs","Better safe than sorry (0.5x FP)",">2 deaths/100K/wk","H","0 10 0"
"HSAs","Better safe than sorry (0.5x FP)",">2 deaths/100K/wk","HO","0 10 5"
"HSAs","Better safe than sorry (0.5x FP)",">2 deaths/100K/wk","CH","100 10 0"
"HSAs","Better safe than sorry (0.5x FP)",">2 deaths/100K/wk","CHO","100 5 5"
"HSAs","Better safe than sorry (0.5x FP)",">2 deaths/100K/wk","C","150 0 0"
"Counties","Neutral",">1 death/100K/wk","H","0 5 0"
"Counties","Neutral",">1 death/100K/wk","HO","0 5 5"
"Counties","Neutral",">1 death/100K/wk","C","100 0 0"
"Counties","Neutral",">1 death/100K/wk","CH","50 5 0"
"Counties","Neutral",">1 death/100K/wk","CHO","50 5 5"
"Counties","Neutral",">2 deaths/100K/wk","H","0 15 0"
"Counties","Neutral",">2 deaths/100K/wk","HO","0 15 5"
"Counties","Neutral",">2 deaths/100K/wk","CH","150 15 0"
"Counties","Neutral",">2 deaths/100K/wk","CHO","150 15 5"
"Counties","Neutral",">2 deaths/100K/wk","C","200 0 0"
"Counties","Don't cry wolf (0.5x FN)",">1 death/100K/wk","H","0 10 0"
"Counties","Don't cry wolf (0.5x FN)",">1 death/100K/wk","HO","0 5 5"
"Counties","Don't cry wolf (0.5x FN)",">1 death/100K/wk","CH","100 10 0"
"Counties","Don't cry wolf (0.5x FN)",">1 death/100K/wk","CHO","100 5 5"
"Counties","Don't cry wolf (0.5x FN)",">1 death/100K/wk","C","150 0 0"
"Counties","Don't cry wolf (0.5x FN)",">2 deaths/100K/wk","HO","0 15 10"
"Counties","Don't cry wolf (0.5x FN)",">2 deaths/100K/wk","H","0 20 0"
"Counties","Don't cry wolf (0.5x FN)",">2 deaths/100K/wk","CH","200 15 0"
"Counties","Don't cry wolf (0.5x FN)",">2 deaths/100K/wk","CHO","200 15 5"
"Counties","Don't cry wolf (0.5x FN)",">2 deaths/100K/wk","C","250 0 0"
"Counties","Better safe than sorry (0.5x FP)",">1 death/100K/wk","H","0 5 0"
"Counties","Better safe than sorry (0.5x FP)",">1 death/100K/wk","HO","0 5 5"
"Counties","Better safe than sorry (0.5x FP)",">1 death/100K/wk","C","50 0 0"
"Counties","Better safe than sorry (0.5x FP)",">1 death/100K/wk","CH","50 5 0"
"Counties","Better safe than sorry (0.5x FP)",">1 death/100K/wk","CHO","50 5 5"
